Nazwa Jednostki,Regon,Dzial,Rozdzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
Szkoła Podstawowa Nr 6,903280,801,80101,1400,480,0,217000,216934.39,216934.39,224319.25
Szkoła Podstawowa Nr 6,903280,801,80101,1600,605,0,15000,14991.05,14991.05,0
Szkoła Podstawowa Nr 6,903280,801,80101,1600,606,0,139200,139200,139200,0
Szkoła Podstawowa Nr 6,903280,801,80107,1400,411,0,43000,40598.48,37201.98,6390.73
Szkoła Podstawowa Nr 6,903280,801,80107,1400,412,0,6000,4652.89,4329.82,655.95
Szkoła Podstawowa Nr 6,903280,801,80107,1100,444,0,13164,13164,13164,0
Szkoła Podstawowa Nr 6,903280,801,80107,1400,471,0,90,24.41,24.41,0
Szkoła Podstawowa Nr 6,903280,801,80107,1400,479,0,249000,241245.21,234690.07,6555.14
Szkoła Podstawowa Nr 6,903280,801,80107,1400,480,0,16450,16449.3,16449.3,17418.33
Szkoła Podstawowa Nr 6,903280,801,80146,1100,430,0,7021,0,0,0
Szkoła Podstawowa Nr 6,903280,801,80146,1100,470,0,11702,11702,11702,0
Szkoła Podstawowa Nr 6,903280,801,80148,1300,302,0,1945,1934.89,1934.89,0
Szkoła Podstawowa Nr 6,903280,801,80148,1400,401,0,229000,223274.02,218259.81,5014.21
Szkoła Podstawowa Nr 6,903280,801,80148,1400,404,0,17700,17668.16,17668.16,15632.76
Szkoła Podstawowa Nr 6,903280,801,80148,1400,411,0,46000,43306.72,39707.84,6286.13
Szkoła Podstawowa Nr 6,903280,801,80148,1400,412,0,6400,4788,4381.41,690.48
Szkoła Podstawowa Nr 6,903280,801,80148,1100,422,0,220000,216143.59,216143.59,0
Szkoła Podstawowa Nr 6,903280,801,80148,1100,428,0,303,237,237,0
Szkoła Podstawowa Nr 6,903280,801,80148,1100,444,0,7350,7350,7350,0
Szkoła Podstawowa Nr 6,903280,801,80148,1400,471,0,70,0,0,0
Szkoła Podstawowa Nr 6,903280,801,80150,1400,411,0,111360,111360,109062.29,2297.71
Szkoła Podstawowa Nr 6,903280,801,80150,1400,412,0,15850,15850,15529.58,320.42
Szkoła Podstawowa Nr 6,903280,801,80150,1100,421,0,43750,43750,43750,0
Szkoła Podstawowa Nr 6,903280,801,80150,1400,471,0,30,0,0,0
Szkoła Podstawowa Nr 6,903280,801,80150,1400,479,0,601500,601500,597793.16,3706.84
Szkoła Podstawowa Nr 6,903280,801,80153,1100,424,0,36367.69,36367.69,36367.69,0
Szkoła Podstawowa Nr 6,903280,854,85416,1300,324,0,4960,4960,4960,0
Szkoła Podstawowa Nr 5,903297,801,80101,1300,302,0,11400,11346.38,11346.38,0
Szkoła Podstawowa Nr 5,903297,801,80101,1400,401,0,640000,628575.59,614798.45,13777.14
Szkoła Podstawowa Nr 5,903297,801,80101,1400,404,0,33200,33133.65,33133.65,41125.9
Szkoła Podstawowa Nr 5,903297,801,80101,1400,411,0,419789,418597.57,389258.45,59990.43
Szkoła Podstawowa Nr 5,903297,801,80101,1400,412,0,65178,44638.57,40411.59,7213.15
Szkoła Podstawowa Nr 5,903297,801,80101,1400,417,0,73000,70884.6,69679.4,1205.2
Szkoła Podstawowa Nr 5,903297,801,80101,1100,421,0,95607,50352.41,50352.41,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,424,0,25000,25000,25000,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,426,0,161000,154144.85,154144.85,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,427,0,700,645.48,645.48,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,428,0,5643,4070,4070,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,430,0,58000,57704.96,57704.96,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,436,0,3000,2411.98,2411.98,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,441,0,2000,47.6,47.6,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,444,0,181846,172868,172868,0
Szkoła Podstawowa Nr 5,903297,801,80101,1100,470,0,4000,4000,4000,0
Szkoła Podstawowa Nr 5,903297,801,80101,1400,471,0,250,245.01,245.01,15.17
Szkoła Podstawowa Nr 5,903297,801,80101,1400,479,0,1747603,1729069.41,1679254.84,49814.57
Szkoła Podstawowa Nr 5,903297,801,80101,1400,480,0,134500,134500,134500,138121.47
Szkoła Podstawowa Nr 5,903297,801,80101,1600,606,0,76500,73500,73500,0
Szkoła Podstawowa Nr 5,903297,801,80107,1400,411,0,21600,19886.51,18140.07,2563.5
Szkoła Podstawowa Nr 5,903297,801,80107,1400,412,0,2800,1979.83,1792.94,303.95
Szkoła Podstawowa Nr 5,903297,801,80107,1100,421,0,5000,5000,5000,0
Szkoła Podstawowa Nr 5,903297,801,80107,1100,444,0,7437,6700,6700,0
Szkoła Podstawowa Nr 5,903297,801,80107,1400,479,0,125000,114981.04,111758.71,3222.33
Szkoła Podstawowa Nr 5,903297,801,80107,1400,480,0,12700,1320.52,1320.52,4778.1
Szkoła Podstawowa Nr 5,903297,801,80146,1100,430,0,4227,1040,1040,0
Szkoła Podstawowa Nr 5,903297,801,80146,1100,470,0,7045,7045,7045,0
Szkoła Podstawowa Nr 5,903297,801,80148,1300,302,0,1891,751.84,751.84,0
Szkoła Podstawowa Nr 5,903297,801,80148,1400,401,0,180480,180220.52,178047.76,2172.76
Szkoła Podstawowa Nr 5,903297,801,80148,1400,404,0,12520,12513.45,12513.45,14153.56
Szkoła Podstawowa Nr 5,903297,801,80148,1400,411,0,35500,34143.9,31873.03,4691.13
Szkoła Podstawowa Nr 5,903297,801,80148,1400,412,0,6000,3868.98,3617.77,505.01
Szkoła Podstawowa Nr 5,903297,801,80148,1100,421,0,3000,2994.99,2994.99,0
Szkoła Podstawowa Nr 5,903297,801,80148,1100,422,0,128700,127387.54,127387.54,0
Szkoła Podstawowa Nr 5,903297,801,80148,1100,444,0,6652,6651.88,6651.88,0
Szkoła Podstawowa Nr 5,903297,801,80153,1100,424,0,25958.79,25958.79,25958.79,0
Szkoła Podstawowa Nr 5,903297,854,85416,1300,324,0,5208,5208,5208,0
Szkoła Podstawowa Nr 4,903305,801,80101,1300,302,0,7739,6491.26,6491.26,0
Szkoła Podstawowa Nr 4,903305,801,80101,1400,401,0,499644,466838.62,455758.85,11079.77
Szkoła Podstawowa Nr 4,903305,801,80101,1400,404,0,35510,35509.41,35509.41,36970.91
Szkoła Podstawowa Nr 4,903305,801,80101,1400,411,0,387401,362293.91,332194.11,58221.9
Szkoła Podstawowa Nr 4,903305,801,80101,1400,412,0,47633,42512.52,39340.07,6147.31
Szkoła Podstawowa Nr 4,903305,801,80101,1100,414,0,5140,1792,1792,0
Szkoła Podstawowa Nr 4,903305,801,80101,1400,417,0,5000,0,0,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,421,0,81637,46837.74,46837.74,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,424,0,52786,3568.17,3568.17,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,426,0,170040,162467.46,162467.46,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,427,0,10800,10365.51,10365.51,0
